source_doc,target_doc
DOC0001,DOC0006
DOC0001,DOC0007
DOC0001,DOC0008
DOC0001,DOC0009
DOC0001,DOC0010
DOC0001,DOC0011
DOC0001,DOC0012
DOC0001,DOC0013
DOC0001,DOC0014
DOC0001,DOC0015
DOC0001,DOC0016
DOC0001,DOC0017
DOC0001,DOC0018
DOC0001,DOC0019
DOC0001,DOC0020
DOC0001,DOC0021
DOC0001,DOC0022
DOC0001,DOC0023
DOC0001,DOC0024
DOC0001,DOC0025
DOC0001,DOC0026
DOC0001,DOC0027
DOC0001,DOC0028
DOC0001,DOC0029
DOC0001,DOC0030
DOC0001,DOC0031
DOC0001,DOC0032
DOC0001,DOC0033
DOC0001,DOC0034
DOC0001,DOC0035
DOC0001,DOC0036
DOC0001,DOC0037
DOC0001,DOC0038
DOC0001,DOC0039
DOC0001,DOC0040
DOC0001,DOC0041
DOC0001,DOC0042
DOC0001,DOC0043
DOC0001,DOC0044
DOC0001,DOC0045
DOC0001,DOC0046
DOC0001,DOC0047
DOC0001,DOC0048
DOC0001,DOC0049
DOC0001,DOC0050
DOC0001,DOC0005
DOC0002,DOC0014
DOC0002,DOC0027
DOC0002,DOC0038
DOC0002,DOC0010
DOC0002,DOC0045
DOC0002,DOC0048
DOC0002,DOC0033
DOC0002,DOC0001
DOC0002,DOC0008
DOC0002,DOC0005
DOC0002,DOC0003
DOC0002,DOC0004
DOC0003,DOC0014
DOC0003,DOC0038
DOC0003,DOC0002
DOC0003,DOC0010
DOC0003,DOC0045
DOC0003,DOC0048
DOC0003,DOC0030
DOC0003,DOC0033
DOC0003,DOC0001
DOC0003,DOC0008
DOC0003,DOC0005
DOC0003,DOC0004
DOC0004,DOC0007
DOC0004,DOC0008
DOC0004,DOC0010
DOC0004,DOC0033
DOC0004,DOC0038
DOC0004,DOC0040
DOC0004,DOC0044
DOC0004,DOC0045
DOC0004,DOC0048
DOC0004,DOC0005
DOC0004,DOC0002
DOC0004,DOC0003
DOC0004,DOC0001
DOC0005,DOC0010
DOC0005,DOC0028
DOC0005,DOC0033
DOC0005,DOC0038
DOC0005,DOC0045
DOC0005,DOC0048
DOC0005,DOC0049
DOC0005,DOC0002
