doc_id,rank,keyword,tfidf_score
DOC0001,1,retriev,0.444577
DOC0001,2,inform,0.412829
DOC0001,3,model,0.296073
DOC0001,4,document,0.176092
DOC0001,5,queri,0.166241
DOC0001,6,evalu,0.110229
DOC0001,7,vector,0.099904
DOC0001,8,system,0.097412
DOC0001,9,semant,0.094857
DOC0001,10,relev,0.09377
DOC0002,1,learn,0.463448
DOC0002,2,machin,0.368119
DOC0002,3,model,0.218615
DOC0002,4,algorithm,0.192599
DOC0002,5,artifici,0.167538
DOC0002,6,data,0.16662
DOC0002,7,train,0.154899
DOC0002,8,comput,0.149281
DOC0002,9,neural,0.140237
DOC0002,10,intellig,0.127799
DOC0003,1,intellig,0.35201
DOC0003,2,norvig,0.329339
DOC0003,3,artifici,0.297598
DOC0003,4,russel,0.284774
DOC0003,5,origin,0.170574
DOC0003,6,archiv,0.152848
DOC0003,7,robot,0.149029
DOC0003,8,retriev,0.145856
DOC0003,9,chpt,0.131508
DOC0003,10,comput,0.129761
DOC0004,1,languag,0.317428
DOC0004,2,nlp,0.26086
DOC0004,3,word,0.25542
DOC0004,4,natur,0.243497
DOC0004,5,semant,0.220054
DOC0004,6,process,0.187463
DOC0004,7,linguist,0.162871
DOC0004,8,sentenc,0.162099
DOC0004,9,pars,0.146582
DOC0004,10,task,0.141177
DOC0005,1,data,0.60613
DOC0005,2,mine,0.55948
DOC0005,3,learn,0.13059
DOC0005,4,softwar,0.125787
DOC0005,5,analysi,0.110963
DOC0005,6,comput,0.107404
DOC0005,7,machin,0.101412
DOC0005,8,pattern,0.092341
DOC0005,9,process,0.08818
DOC0005,10,use,0.082493
DOC0006,1,sigir,0.467503
DOC0006,2,award,0.350889
DOC0006,3,acm,0.316397
DOC0006,4,academi,0.280502
DOC0006,5,retriev,0.243621
DOC0006,6,inform,0.157157
DOC0006,7,releas,0.145028
DOC0006,8,confer,0.132733
DOC0006,9,group,0.129821
DOC0006,10,march,0.113771
DOC0007,1,book,0.596586
DOC0007,2,librari,0.477378
DOC0007,3,catalogu,0.424672
DOC0007,4,catalog,0.359029
DOC0007,5,univers,0.223907
DOC0007,6,public,0.111033
DOC0007,7,counti,0.107953
DOC0007,8,colleg,0.054063
DOC0007,9,nation,0.048136
DOC0007,10,california,0.036285
DOC0008,1,pubm,0.541265
DOC0008,2,nih,0.308591
DOC0008,3,central,0.246929
DOC0008,4,publish,0.199827
DOC0008,5,pmc,0.168821
DOC0008,6,nlm,0.167322
DOC0008,7,access,0.15141
DOC0008,8,public,0.147667
DOC0008,9,dtd,0.1412
DOC0008,10,articl,0.139736
