query_id,doc_id,relevant
Q001,DOC0001,1
Q001,DOC0002,0
Q001,DOC0003,0
Q001,DOC0004,0
Q001,DOC0005,0
Q001,DOC0006,1
Q001,DOC0007,1
Q001,DOC0008,1
Q001,DOC0009,1
Q001,DOC0010,1
Q001,DOC0011,1
Q001,DOC0012,1
Q001,DOC0013,1
Q001,DOC0014,1
Q001,DOC0015,1
Q001,DOC0016,1
Q001,DOC0017,1
Q001,DOC0018,1
Q001,DOC0019,1
Q001,DOC0020,1
Q001,DOC0021,1
Q001,DOC0022,1
Q001,DOC0023,1
Q001,DOC0024,1
Q001,DOC0025,1
Q001,DOC0026,1
Q001,DOC0027,1
Q001,DOC0028,1
Q001,DOC0029,1
Q001,DOC0030,1
Q001,DOC0031,1
Q001,DOC0032,1
Q001,DOC0033,1
Q001,DOC0034,1
Q001,DOC0035,1
Q001,DOC0036,1
Q001,DOC0037,1
Q001,DOC0038,1
Q001,DOC0039,1
Q001,DOC0040,1
Q001,DOC0041,1
Q001,DOC0042,1
Q001,DOC0043,1
Q001,DOC0044,1
Q001,DOC0045,1
Q001,DOC0046,1
Q001,DOC0047,1
Q001,DOC0048,1
Q001,DOC0049,1
Q001,DOC0050,1
Q002,DOC0001,0
Q002,DOC0002,1
Q002,DOC0003,0
Q002,DOC0004,0
Q002,DOC0005,0
Q002,DOC0006,0
Q002,DOC0007,0
Q002,DOC0008,0
Q002,DOC0009,0
Q002,DOC0010,0
Q002,DOC0011,0
Q002,DOC0012,0
Q002,DOC0013,0
Q002,DOC0014,0
Q002,DOC0015,0
Q002,DOC0016,0
Q002,DOC0017,0
Q002,DOC0018,0
Q002,DOC0019,0
Q002,DOC0020,0
Q002,DOC0021,0
Q002,DOC0022,0
Q002,DOC0023,0
Q002,DOC0024,0
Q002,DOC0025,0
Q002,DOC0026,0
Q002,DOC0027,0
Q002,DOC0028,0
Q002,DOC0029,0
Q002,DOC0030,0
Q002,DOC0031,0
Q002,DOC0032,0
Q002,DOC0033,0
Q002,DOC0034,0
Q002,DOC0035,0
Q002,DOC0036,0
Q002,DOC0037,0
Q002,DOC0038,0
Q002,DOC0039,0
Q002,DOC0040,0
Q002,DOC0041,0
Q002,DOC0042,0
Q002,DOC0043,0
Q002,DOC0044,0
Q002,DOC0045,0
Q002,DOC0046,0
Q002,DOC0047,0
Q002,DOC0048,0
Q002,DOC0049,0
Q002,DOC0050,0
Q003,DOC0001,0
Q003,DOC0002,0
Q003,DOC0003,1
Q003,DOC0004,0
Q003,DOC0005,0
Q003,DOC0006,0
Q003,DOC0007,0
Q003,DOC0008,0
Q003,DOC0009,0
Q003,DOC0010,0
Q003,DOC0011,0
Q003,DOC0012,0
Q003,DOC0013,0
Q003,DOC0014,0
Q003,DOC0015,0
Q003,DOC0016,0
Q003,DOC0017,0
Q003,DOC0018,0
Q003,DOC0019,0
Q003,DOC0020,0
Q003,DOC0021,0
Q003,DOC0022,0
Q003,DOC0023,0
Q003,DOC0024,0
Q003,DOC0025,0
Q003,DOC0026,0
Q003,DOC0027,0
Q003,DOC0028,0
Q003,DOC0029,0
Q003,DOC0030,0
Q003,DOC0031,0
Q003,DOC0032,0
Q003,DOC0033,0
Q003,DOC0034,0
Q003,DOC0035,0
Q003,DOC0036,0
Q003,DOC0037,0
Q003,DOC0038,0
Q003,DOC0039,0
Q003,DOC0040,0
Q003,DOC0041,0
Q003,DOC0042,0
Q003,DOC0043,0
Q003,DOC0044,0
Q003,DOC0045,0
Q003,DOC0046,0
Q003,DOC0047,0
Q003,DOC0048,0
Q003,DOC0049,0
Q003,DOC0050,0
Q004,DOC0001,0
Q004,DOC0002,0
Q004,DOC0003,0
Q004,DOC0004,1
Q004,DOC0005,0
Q004,DOC0006,0
Q004,DOC0007,0
Q004,DOC0008,0
Q004,DOC0009,0
Q004,DOC0010,0
Q004,DOC0011,0
Q004,DOC0012,0
Q004,DOC0013,0
Q004,DOC0014,0
Q004,DOC0015,0
Q004,DOC0016,0
Q004,DOC0017,0
Q004,DOC0018,0
Q004,DOC0019,0
Q004,DOC0020,0
Q004,DOC0021,0
Q004,DOC0022,0
Q004,DOC0023,0
Q004,DOC0024,0
Q004,DOC0025,0
Q004,DOC0026,0
Q004,DOC0027,0
Q004,DOC0028,0
Q004,DOC0029,0
Q004,DOC0030,0
Q004,DOC0031,0
Q004,DOC0032,0
Q004,DOC0033,0
Q004,DOC0034,0
Q004,DOC0035,0
Q004,DOC0036,0
Q004,DOC0037,0
Q004,DOC0038,0
Q004,DOC0039,0
Q004,DOC0040,0
Q004,DOC0041,0
Q004,DOC0042,0
Q004,DOC0043,0
Q004,DOC0044,0
Q004,DOC0045,0
Q004,DOC0046,0
Q004,DOC0047,0
Q004,DOC0048,0
Q004,DOC0049,0
Q004,DOC0050,0
Q005,DOC0001,0
Q005,DOC0002,0
Q005,DOC0003,0
Q005,DOC0004,0
Q005,DOC0005,1
Q005,DOC0006,0
Q005,DOC0007,0
Q005,DOC0008,0
Q005,DOC0009,0
Q005,DOC0010,0
Q005,DOC0011,0
Q005,DOC0012,0
Q005,DOC0013,0
Q005,DOC0014,0
Q005,DOC0015,0
Q005,DOC0016,0
Q005,DOC0017,0
Q005,DOC0018,0
Q005,DOC0019,0
Q005,DOC0020,0
Q005,DOC0021,0
Q005,DOC0022,0
Q005,DOC0023,0
Q005,DOC0024,0
Q005,DOC0025,0
Q005,DOC0026,0
Q005,DOC0027,0
Q005,DOC0028,0
Q005,DOC0029,0
