term,document_frequency,total_frequency,idf
search,48,667,1.040005
term,47,295,1.060625
inform,47,1187,1.060625
develop,47,368,1.060625
gener,47,416,1.060625
project,47,247,1.060625
contact,47,140,1.060625
content,46,378,1.081678
english,46,151,1.081678
retriev,46,1739,1.081678
creat,46,216,1.081678
link,46,366,1.081678
wikimedia,46,127,1.081678
privaci,46,144,1.081678
text,46,348,1.081678
url,46,95,1.081678
organ,46,201,1.081678
wikipedia,46,413,1.081678
tool,46,239,1.081678
help,45,211,1.103184
main,45,270,1.103184
relat,45,202,1.103184
polici,45,159,1.103184
creativ,45,80,1.103184
use,45,964,1.103184
cooki,45,45,1.103184
avail,45,131,1.103184
donat,45,97,1.103184
recent,45,92,1.103184
legal,45,134,1.103184
mobil,44,95,1.125163
file,44,183,1.125163
chang,44,176,1.125163
account,44,124,1.125163
special,44,109,1.125163
code,44,118,1.125163
non,44,139,1.125163
histori,44,295,1.125163
wikidata,44,107,1.125163
add,44,82,1.125163
common,44,219,1.125163
version,44,94,1.125163
languag,44,514,1.125163
commun,44,179,1.125163
person,44,139,1.125163
print,44,69,1.125163
pdf,44,294,1.125163
portal,44,64,1.125163
navig,44,71,1.125163
page,44,416,1.125163
current,44,113,1.125163
menu,43,95,1.147636
read,43,158,1.147636
site,43,151,1.147636
foundat,43,146,1.147636
statist,43,214,1.147636
free,43,164,1.147636
categori,43,205,1.147636
topic,43,131,1.147636
view,43,203,1.147636
edit,43,862,1.147636
licens,43,90,1.147636
learn,43,955,1.147636
log,43,92,1.147636
action,43,109,1.147636
printabl,42,42,1.170626
conduct,42,62,1.170626
encyclopedia,42,80,1.170626
disclaim,42,44,1.170626
safeti,42,84,1.170626
random,42,75,1.170626
jump,42,44,1.170626
hide,42,165,1.170626
sidebar,42,164,1.170626
export,42,43,1.170626
articl,42,588,1.170626
appear,42,133,1.170626
contribut,42,97,1.170626
shorten,42,45,1.170626
upload,42,90,1.170626
statement,42,118,1.170626
parsoid,42,172,1.170626
refer,41,281,1.194156
talk,41,100,1.194156
event,41,96,1.194156
regist,41,56,1.194156
sharealik,41,44,1.194156
appli,41,140,1.194156
download,41,48,1.194156
addit,41,124,1.194156
perman,41,52,1.194156
cite,41,116,1.194156
hidden,41,73,1.194156
attribut,41,69,1.194156
agre,40,62,1.218254
parser,40,61,1.218254
profit,40,60,1.218254
new,39,514,1.242946
toggl,39,179,1.242946
item,39,128,1.242946
tabl,39,108,1.242946
utc,39,65,1.242946
render,39,57,1.242946
legaci,39,52,1.242946
trademark,38,77,1.268264
user,38,342,1.268264
switch,38,43,1.268264
data,38,816,1.268264
work,37,242,1.294239
research,37,634,1.294239
scienc,37,510,1.294239
time,36,310,1.320908
state,36,400,1.320908
descript,36,117,1.320908
includ,36,305,1.320908
base,36,347,1.320908
short,35,98,1.348307
archiv,35,873,1.348307
differ,35,159,1.348307
